"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ppnr","numeric",6329,0,95,274.807078527414,281,281,NA,196.145157458417,NA,2,603,601,0.0163544687779708,0.265644766006055,-1.49117582835562,-12.1124560445729,NA,NA
"triggerid","numeric",6329,0,76,34.8397851161321,35,35,NA,19.2840875810856,NA,2,77,75,0.0103558112411178,0.168208890872391,-1.18463310493719,-9.62248457871035,NA,NA
"day","integer",6329,0,31,15.1177121188181,15,15,NA,8.97014736167603,NA,1,31,30,0.082856464927042,1.34583315034241,-1.31514663207991,-10.6826139951599,NA,NA
"ANGRY","numeric",5721,0.0960657291831253,101,14.3293130571578,8,8,NA,17.4403958692737,NA,1,100,99,2.15379225312649,33.2619716416341,4.88652070541961,37.7389430095359,NA,NA
"SAD","numeric",5719,0.0963817348712277,100,18.0064696625284,11,11,NA,20.3486348337719,NA,1,100,99,1.71073233143257,26.4149842372832,2.4874139305541,19.2071174410465,NA,NA
"ANX","numeric",5720,0.0962237320271765,98,13.4643356643357,8,8,NA,16.6265604293569,NA,1,100,99,2.34875901331048,36.2697613948629,5.98720763637639,46.2355877046944,NA,NA
"DEPRE","numeric",5720,0.0962237320271765,101,17.0293706293706,10,10,NA,20.4742728790867,NA,1,100,99,1.89351120212918,29.2397811399679,3.26075837388292,25.1808670979592,NA,NA
"RUMI.","numeric",5719,0.0963817348712277,101,27.2921839482427,18,18,NA,26.0656969932726,NA,1,100,99,1.01134371593284,15.615901929246,-0.0227890809867493,-0.175970934917336,NA,NA
"DIST.","numeric",5719,0.0963817348712277,101,29.4074138835461,20,20,NA,26.433020429363,NA,1,100,99,0.810259124732233,12.5110057340145,-0.532584079084236,-4.11246589421639,NA,NA
"RFLCT.","numeric",5719,0.0963817348712277,101,23.1967127120126,16,16,NA,22.1102665216669,NA,1,100,99,1.15311092311955,17.804893435629,0.555893588243774,4.29245543050586,NA,NA
"REAPP.","numeric",5719,0.0963817348712277,99,18.265955586641,12,12,NA,19.0749359030356,NA,1,100,99,1.51489047984195,23.3910398552685,1.84330499642397,14.2334876841733,NA,NA
"SUPP.","numeric",5721,0.0960657291831253,101,23.8893550078658,15,15,NA,24.363035746602,NA,1,100,99,1.23869951289064,19.1297874762366,0.553778978819023,4.27687399305423,NA,NA
"SOCSH.","numeric",5719,0.0963817348712277,101,21.4901206504634,12,12,NA,23.9039891673787,NA,1,100,99,1.3189198266635,20.3651066805888,0.714437771640662,5.51668944829175,NA,NA
"person_CESD","numeric",6329,0,25,0.949614556219907,0.95,0.95,NA,0.277916567088256,NA,0.5,2.05,1.55,1.10898136852144,18.0131253509602,1.97218433221121,16.0195703158935,NA,NA
